time,value
2024-07-13T12:46:32.8926318Z,{"lat":10.845402975525392,"lon":106.68208525191645}
2024-07-13T12:46:33.935656265Z,{"lat":10.845402975525392,"lon":106.68208525191645}
2024-07-13T12:46:34.925989036Z,{"lat":10.845402975525392,"lon":106.68208525191645}
2024-07-13T12:46:35.937515463Z,{"lat":10.845402975525392,"lon":106.68208525191645}
2024-07-13T12:46:36.939175067Z,{"lat":10.845402975525392,"lon":106.68208525191645}
2024-07-13T12:46:37.994965224Z,{"lat":10.845402975525392,"lon":106.68208525191645}
2024-07-13T12:46:38.966334474Z,{"lat":10.84540598289366,"lon":106.68208514033597}
2024-07-13T12:46:39.984418272Z,{"lat":10.84540598289366,"lon":106.68208514033597}
2024-07-13T12:46:41.001120064Z,{"lat":10.84540598289366,"lon":106.68208514033597}
2024-07-13T12:46:42.020264411Z,{"lat":10.84540598289366,"lon":106.68208514033597}
2024-07-13T12:46:43.00881218Z,{"lat":10.84540598289366,"lon":106.68208514033597}
2024-07-13T12:46:44.034681303Z,{"lat":10.845415863471384,"lon":106.68208467725913}
2024-07-13T12:46:45.050234647Z,{"lat":10.845423296533637,"lon":106.68208432311602}
2024-07-13T12:46:46.043169922Z,{"lat":10.845423296533637,"lon":106.68208432311602}
2024-07-13T12:46:47.077074164Z,{"lat":10.845423296533637,"lon":106.68208432311602}
2024-07-13T12:46:48.091550573Z,{"lat":10.845423296533637,"lon":106.68208432311602}
2024-07-13T12:46:49.159876255Z,{"lat":10.845423296533637,"lon":106.68208432311602}
2024-07-13T12:46:50.7523905Z,{"lat":10.845423296533637,"lon":106.68208432311602}
2024-07-13T12:46:51.092277557Z,{"lat":10.845406752530073,"lon":106.68208495211059}
2024-07-13T12:46:52.109236172Z,{"lat":10.845406752530073,"lon":106.68208495211059}
2024-07-13T12:46:53.109666762Z,{"lat":10.845406752530073,"lon":106.68208495211059}
2024-07-13T12:46:54.133568813Z,{"lat":10.845406752530073,"lon":106.68208495211059}
2024-07-13T12:46:55.145952257Z,{"lat":10.845406752530073,"lon":106.68208495211059}
2024-07-13T12:46:56.200696967Z,{"lat":10.845427928145774,"lon":106.68208399253807}
2024-07-13T12:46:57.178111274Z,{"lat":10.84540416097004,"lon":106.68208510950927}
2024-07-13T12:46:58.165453049Z,{"lat":10.84540416097004,"lon":106.68208510950927}
2024-07-13T12:46:59.174824731Z,{"lat":10.84540416097004,"lon":106.68208510950927}
2024-07-13T12:47:00.201799574Z,{"lat":10.84540416097004,"lon":106.68208510950927}
2024-07-13T12:47:01.216321497Z,{"lat":10.84540416097004,"lon":106.68208510950927}
2024-07-13T12:47:02.206849874Z,{"lat":10.845430781413125,"lon":106.68208391198546}
2024-07-13T12:47:03.244379132Z,{"lat":10.845421054310906,"lon":106.6820885591367}
2024-07-13T12:47:04.231064228Z,{"lat":10.845421054310906,"lon":106.6820885591367}
2024-07-13T12:47:05.227681672Z,{"lat":10.845421054310906,"lon":106.6820885591367}
2024-07-13T12:47:06.255811562Z,{"lat":10.845421054310906,"lon":106.6820885591367}
2024-07-13T12:47:07.256240669Z,{"lat":10.845421054310906,"lon":106.6820885591367}
2024-07-13T12:47:08.255842526Z,{"lat":10.845445874005183,"lon":106.68208618861114}
2024-07-13T12:47:09.258342999Z,{"lat":10.84544829157002,"lon":106.68208496943497}
2024-07-13T12:47:10.258953397Z,{"lat":10.84544829157002,"lon":106.68208496943497}
2024-07-13T12:47:11.281467157Z,{"lat":10.84544829157002,"lon":106.68208496943497}
2024-07-13T12:47:12.286140596Z,{"lat":10.84544829157002,"lon":106.68208496943497}
